x	y	key	showSelected1	PANEL	group
-2.2571637825073	23	1	ATAC_JV_adipose/1	1	1
-2.25640053249209	23	1	ATAC_JV_adipose/1	1	1
-2.25321354606368	23	1	ATAC_JV_adipose/1	1	1
-2.24950677591124	23	1	ATAC_JV_adipose/1	1	1
-2.24365769476966	23	1	ATAC_JV_adipose/1	1	1
-2.23582213998502	23	1	ATAC_JV_adipose/1	1	1
-2.21763432748938	23	1	ATAC_JV_adipose/1	1	1
-2.20109911728403	23	1	ATAC_JV_adipose/1	1	1
-2.19964506056693	23	1	ATAC_JV_adipose/1	1	1
-2.18986472741209	23	1	ATAC_JV_adipose/1	1	1
-2.17563079381014	23	1	ATAC_JV_adipose/1	1	1
-2.16264102917964	23	1	ATAC_JV_adipose/1	1	1
-2.15270529075935	23	1	ATAC_JV_adipose/1	1	1
-2.1509147507849	23	1	ATAC_JV_adipose/1	1	1
-2.1410893726831	24	1	ATAC_JV_adipose/1	1	1
-2.13054132710922	24	1	ATAC_JV_adipose/1	1	1
-2.12948937222401	24	1	ATAC_JV_adipose/1	1	1
-2.12912223314537	25	1	ATAC_JV_adipose/1	1	1
-2.12681589254487	25	1	ATAC_JV_adipose/1	1	1
-2.11905968645552	25	1	ATAC_JV_adipose/1	1	1
-2.11186108944684	25	1	ATAC_JV_adipose/1	1	1
-2.10829535466916	25	1	ATAC_JV_adipose/1	1	1
-2.10171811559865	25	1	ATAC_JV_adipose/1	1	1
-2.09385314731393	26	1	ATAC_JV_adipose/1	1	1
-2.08878549941881	26	1	ATAC_JV_adipose/1	1	1
-2.08371487880064	26	1	ATAC_JV_adipose/1	1	1
-2.07999816362972	26	1	ATAC_JV_adipose/1	1	1
-2.06436962228356	26	1	ATAC_JV_adipose/1	1	1
-2.04274449472898	26	1	ATAC_JV_adipose/1	1	1
-2.03616620332459	26	1	ATAC_JV_adipose/1	1	1
-2.03183823078592	27	1	ATAC_JV_adipose/1	1	1
-2.02253659416996	27	1	ATAC_JV_adipose/1	1	1
-2.01130970055903	27	1	ATAC_JV_adipose/1	1	1
-1.99208711127902	27	1	ATAC_JV_adipose/1	1	1
-1.97836731253879	27	1	ATAC_JV_adipose/1	1	1
-1.97223109406173	27	1	ATAC_JV_adipose/1	1	1
-1.96620782458415	27	1	ATAC_JV_adipose/1	1	1
-1.96531932757029	27	1	ATAC_JV_adipose/1	1	1
-1.95669419031926	28	1	ATAC_JV_adipose/1	1	1
-1.94104771416998	28	1	ATAC_JV_adipose/1	1	1
-1.93314279403527	28	1	ATAC_JV_adipose/1	1	1
-1.93252496982332	28	1	ATAC_JV_adipose/1	1	1
-1.91761404075481	28	1	ATAC_JV_adipose/1	1	1
-1.90098292683006	28	1	ATAC_JV_adipose/1	1	1
-1.89583139576299	28	1	ATAC_JV_adipose/1	1	1
-1.89229837164832	28	1	ATAC_JV_adipose/1	1	1
-1.88559457653416	28	1	ATAC_JV_adipose/1	1	1
-1.87868573357475	28	1	ATAC_JV_adipose/1	1	1
-1.87652696718815	28	1	ATAC_JV_adipose/1	1	1
-1.86504808008531	28	1	ATAC_JV_adipose/1	1	1
-1.85447818145152	28	1	ATAC_JV_adipose/1	1	1
-1.84991787466317	28	1	ATAC_JV_adipose/1	1	1
-1.84540159631324	28	1	ATAC_JV_adipose/1	1	1
-1.84236478348939	28	1	ATAC_JV_adipose/1	1	1
-1.83324434386209	28	1	ATAC_JV_adipose/1	1	1
-1.82651263363068	28	1	ATAC_JV_adipose/1	1	1
-1.82453146238484	29	1	ATAC_JV_adipose/1	1	1
-1.8209551580034	29	1	ATAC_JV_adipose/1	1	1
-1.81080595438955	29	1	ATAC_JV_adipose/1	1	1
-1.79813747948143	29	1	ATAC_JV_adipose/1	1	1
-1.79326513894695	29	1	ATAC_JV_adipose/1	1	1
-1.77771251634554	29	1	ATAC_JV_adipose/1	1	1
-1.75885565649387	29	1	ATAC_JV_adipose/1	1	1
-1.75039545140954	29	1	ATAC_JV_adipose/1	1	1
-1.74247370486816	29	1	ATAC_JV_adipose/1	1	1
-1.72669996331105	29	1	ATAC_JV_adipose/1	1	1
-1.71431636028605	29	1	ATAC_JV_adipose/1	1	1
-1.71091424276404	29	1	ATAC_JV_adipose/1	1	1
-1.70384275832374	29	1	ATAC_JV_adipose/1	1	1
-1.69776813658904	29	1	ATAC_JV_adipose/1	1	1
-1.68953856444098	29	1	ATAC_JV_adipose/1	1	1
-1.68110262535173	30	1	ATAC_JV_adipose/1	1	1
-1.67745640137942	30	1	ATAC_JV_adipose/1	1	1
-1.67385262343241	30	1	ATAC_JV_adipose/1	1	1
-1.67098120426771	30	1	ATAC_JV_adipose/1	1	1
-1.66469549038082	31	1	ATAC_JV_adipose/1	1	1
-1.658509715401	31	1	ATAC_JV_adipose/1	1	1
-1.65707823536014	31	1	ATAC_JV_adipose/1	1	1
-1.65556169588726	31	1	ATAC_JV_adipose/1	1	1
-1.65469212622417	31	1	ATAC_JV_adipose/1	1	1
-1.64455634042415	31	1	ATAC_JV_adipose/1	1	1
-1.63054966044507	31	1	ATAC_JV_adipose/1	1	1
-1.62336730428148	31	1	ATAC_JV_adipose/1	1	1
-1.61914135951019	31	1	ATAC_JV_adipose/1	1	1
-1.61645160930778	31	1	ATAC_JV_adipose/1	1	1
-1.61367922481231	31	1	ATAC_JV_adipose/1	1	1
-1.60958540026913	31	1	ATAC_JV_adipose/1	1	1
-1.60650139975596	31	1	ATAC_JV_adipose/1	1	1
-1.59783042339271	31	1	ATAC_JV_adipose/1	1	1
-1.58754698882842	31	1	ATAC_JV_adipose/1	1	1
-1.58424987580207	31	1	ATAC_JV_adipose/1	1	1
-1.57975234439594	32	1	ATAC_JV_adipose/1	1	1
-1.57589958108179	32	1	ATAC_JV_adipose/1	1	1
-1.57324550874155	32	1	ATAC_JV_adipose/1	1	1
-1.57109038468896	32	1	ATAC_JV_adipose/1	1	1
-1.56978611875289	32	1	ATAC_JV_adipose/1	1	1
-1.56546736957738	32	1	ATAC_JV_adipose/1	1	1
-1.55848143342442	32	1	ATAC_JV_adipose/1	1	1
-1.55244911587472	32	1	ATAC_JV_adipose/1	1	1
-1.54820552227036	32	1	ATAC_JV_adipose/1	1	1
-1.54551709587919	32	1	ATAC_JV_adipose/1	1	1
-1.54360474976924	32	1	ATAC_JV_adipose/1	1	1
-1.54132546104362	32	1	ATAC_JV_adipose/1	1	1
-1.53727320230399	32	1	ATAC_JV_adipose/1	1	1
-1.53373540578018	32	1	ATAC_JV_adipose/1	1	1
-1.53240627080677	32	1	ATAC_JV_adipose/1	1	1
-1.52792935238139	32	1	ATAC_JV_adipose/1	1	1
-1.52005077261496	32	1	ATAC_JV_adipose/1	1	1
-1.51227127334342	32	1	ATAC_JV_adipose/1	1	1
-1.50491774939722	32	1	ATAC_JV_adipose/1	1	1
-1.50057243173535	32	1	ATAC_JV_adipose/1	1	1
-1.49853618637723	32	1	ATAC_JV_adipose/1	1	1
